period_type,fiscal_year_be,period_order,period_label,indicator_no,indicator_name,target_text,target_type,target_value,numerator,denominator,actual_percent,status,gap_from_target
ไตรมาส,2566,4,ไตรมาส 4,14,อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี,> 40%,>,40,39,760,5.13,ไม่ผ่าน,-34.87
ไตรมาส,2566,4,ไตรมาส 4,15,อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี,> 80%,>,80,34,760,4.47,ไม่ผ่าน,-75.53
ไตรมาส,2566,4,ไตรมาส 4,16,อัตราผู้ป่วยเบาหวานที่มี Diabetic retinopathy,< 15%,<,15,67,760,8.82,ผ่าน,6.18
ไตรมาส,2566,4,ไตรมาส 4,17,อัตราผู้ป่วยเบาหวานที่มี Diabetic nephropathy,< 30%,<,30,33,760,4.34,ผ่าน,25.66
ไตรมาส,2566,4,ไตรมาส 4,18,อัตราผู้ป่วยเบาหวานที่มีแผลที่เท้า,< 5%,<,5,9,760,1.18,ผ่าน,3.82
ไตรมาส,2567,1,ไตรมาส 1,1,อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c,>= 70%,>=,70,515,798,64.54,ไม่ผ่าน,-5.46
ไตรมาส,2567,1,ไตรมาส 1,2,อัตราผู้ป่วยเบาหวานชนิดที่ 2 ที่มีระดับ HbA1c < 7%,> 40%,>,40,117,762,15.35,ไม่ผ่าน,-24.65
ไตรมาส,2567,1,ไตรมาส 1,3,อัตราผู้ป่วยเบาหวานชนิดที่ 1 ที่มีระดับ HbA1c < 7%,> 40%,>,40,5,27,18.52,ไม่ผ่าน,-21.48
ไตรมาส,2567,1,ไตรมาส 1,4,อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลันจาก DM,< 4%,<,4,0,798,0,ผ่าน,4
ไตรมาส,2567,1,ไตรมาส 1,5,อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลัน Hypoglycemia,< 4%,<,4,0,798,0,ผ่าน,4
ไตรมาส,2567,1,ไตรมาส 1,6,"อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลัน Hyperglycemia, DKA",< 4%,<,4,0,798,0,ผ่าน,4
ไตรมาส,2567,1,ไตรมาส 1,7,อัตราผู้ป่วย DM ที่ได้รับการตรวจ Lipid profile,> 70%,>,70,195,798,24.44,ไม่ผ่าน,-45.56
ไตรมาส,2567,1,ไตรมาส 1,8,อัตราผู้ป่วย DM ที่มีระดับ LDL < 100 mg/dL,> 60%,>,60,108,798,13.53,ไม่ผ่าน,-46.47
ไตรมาส,2567,1,ไตรมาส 1,9,อัตราของระดับความดันโลหิตในผู้ป่วย DM <= 130/80 mmHg,>= 60%,>=,60,209,798,26.19,ไม่ผ่าน,-33.81
ไตรมาส,2567,1,ไตรมาส 1,10,อัตราผู้ป่วย DM อายุ 40 ปีขึ้นไปที่ได้รับยา Aspirin,> 70%,>,70,259,707,36.63,ไม่ผ่าน,-33.37
ไตรมาส,2567,1,ไตรมาส 1,11,อัตราผู้ป่วย DM ที่ได้รับการตรวจ Microalbuminuria ประจำปี,> 80%,>,80,12,798,1.5,ไม่ผ่าน,-78.5
