"period_type","fiscal_year_be","period_order","period_label","risk_code","risk_name","risk_order","total_hn"
"ปีงบประมาณ","2567","0","ปีงบประมาณ 2567","Z0283","เสี่ยงสูงมาก","4","0"
"ไตรมาส","2567","1","ไตรมาส 1","Z0280","เสี่ยงต่ำ","1","21"
"ไตรมาส","2567","1","ไตรมาส 1","Z0281","เสี่ยงปานกลาง","2","2"
"ไตรมาส","2567","1","ไตรมาส 1","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2567","1","ไตรมาส 1","Z0283","เสี่ยงสูงมาก","4","0"
"ไตรมาส","2567","2","ไตรมาส 2","Z0280","เสี่ยงต่ำ","1","26"
"ไตรมาส","2567","2","ไตรมาส 2","Z0281","เสี่ยงปานกลาง","2","1"
"ไตรมาส","2567","2","ไตรมาส 2","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2567","2","ไตรมาส 2","Z0283","เสี่ยงสูงมาก","4","0"
"ไตรมาส","2567","3","ไตรมาส 3","Z0280","เสี่ยงต่ำ","1","6"
"ไตรมาส","2567","3","ไตรมาส 3","Z0281","เสี่ยงปานกลาง","2","1"
"ไตรมาส","2567","3","ไตรมาส 3","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2567","3","ไตรมาส 3","Z0283","เสี่ยงสูงมาก","4","0"
"ไตรมาส","2567","4","ไตรมาส 4","Z0280","เสี่ยงต่ำ","1","8"
"ไตรมาส","2567","4","ไตรมาส 4","Z0281","เสี่ยงปานกลาง","2","0"
"ไตรมาส","2567","4","ไตรมาส 4","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2567","4","ไตรมาส 4","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","1","ตุลาคม","Z0280","เสี่ยงต่ำ","1","11"
"เดือน","2567","1","ตุลาคม","Z0281","เสี่ยงปานกลาง","2","1"
"เดือน","2567","1","ตุลาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","1","ตุลาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","2","พฤศจิกายน","Z0280","เสี่ยงต่ำ","1","7"
"เดือน","2567","2","พฤศจิกายน","Z0281","เสี่ยงปานกลาง","2","2"
"เดือน","2567","2","พฤศจิกายน","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","2","พฤศจิกายน","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","3","ธันวาคม","Z0280","เสี่ยงต่ำ","1","2"
"เดือน","2567","3","ธันวาคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2567","3","ธันวาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","3","ธันวาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","4","มกราคม","Z0280","เสี่ยงต่ำ","1","7"
"เดือน","2567","4","มกราคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2567","4","มกราคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","4","มกราคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","5","กุมภาพันธ์","Z0280","เสี่ยงต่ำ","1","9"
"เดือน","2567","5","กุมภาพันธ์","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2567","5","กุมภาพันธ์","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","5","กุมภาพันธ์","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","6","มีนาคม","Z0280","เสี่ยงต่ำ","1","9"
"เดือน","2567","6","มีนาคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2567","6","มีนาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","6","มีนาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","7","เมษายน","Z0280","เสี่ยงต่ำ","1","1"
"เดือน","2567","7","เมษายน","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2567","7","เมษายน","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","7","เมษายน","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","8","พฤษภาคม","Z0280","เสี่ยงต่ำ","1","3"
"เดือน","2567","8","พฤษภาคม","Z0281","เสี่ยงปานกลาง","2","1"
"เดือน","2567","8","พฤษภาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","8","พฤษภาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","9","มิถุนายน","Z0280","เสี่ยงต่ำ","1","2"
"เดือน","2567","9","มิถุนายน","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2567","9","มิถุนายน","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","9","มิถุนายน","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","10","กรกฎาคม","Z0280","เสี่ยงต่ำ","1","3"
"เดือน","2567","10","กรกฎาคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2567","10","กรกฎาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","10","กรกฎาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","11","สิงหาคม","Z0280","เสี่ยงต่ำ","1","1"
"เดือน","2567","11","สิงหาคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2567","11","สิงหาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","11","สิงหาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2567","12","กันยายน","Z0280","เสี่ยงต่ำ","1","3"
"เดือน","2567","12","กันยายน","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2567","12","กันยายน","Z0282","เสี่ยงสูง","3","0"
"เดือน","2567","12","กันยายน","Z0283","เสี่ยงสูงมาก","4","0"
"ปีงบประมาณ","2568","0","ปีงบประมาณ 2568","Z0280","เสี่ยงต่ำ","1","133"
"ปีงบประมาณ","2568","0","ปีงบประมาณ 2568","Z0281","เสี่ยงปานกลาง","2","0"
"ปีงบประมาณ","2568","0","ปีงบประมาณ 2568","Z0282","เสี่ยงสูง","3","0"
"ปีงบประมาณ","2568","0","ปีงบประมาณ 2568","Z0283","เสี่ยงสูงมาก","4","10"
"ไตรมาส","2568","1","ไตรมาส 1","Z0280","เสี่ยงต่ำ","1","35"
