"period_type","fiscal_year_be","period_order","period_label","indicator_no","indicator_name","target_text","target_type","target_value","numerator","denominator","actual_percent","status","gap_from_target"
"เดือน","2566","6","มีนาคม","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","4","299","1.34","ไม่ผ่าน","-38.66"
"เดือน","2566","6","มีนาคม","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","22","299","7.36","ไม่ผ่าน","-72.64"
"เดือน","2566","7","เมษายน","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","168","289","58.13","ไม่ผ่าน","-11.87"
"เดือน","2566","7","เมษายน","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","38","168","22.62","ไม่ผ่าน","-17.38"
"เดือน","2566","7","เมษายน","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","41","289","14.19","ไม่ผ่าน","-55.81"
"เดือน","2566","7","เมษายน","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","12","289","4.15","ไม่ผ่าน","-35.85"
"เดือน","2566","7","เมษายน","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","7","289","2.42","ไม่ผ่าน","-77.58"
"เดือน","2566","8","พฤษภาคม","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","209","315","66.35","ไม่ผ่าน","-3.65"
"เดือน","2566","8","พฤษภาคม","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","51","209","24.4","ไม่ผ่าน","-15.6"
"เดือน","2566","8","พฤษภาคม","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","55","315","17.46","ไม่ผ่าน","-52.54"
"เดือน","2566","8","พฤษภาคม","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","7","315","2.22","ไม่ผ่าน","-37.78"
"เดือน","2566","8","พฤษภาคม","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","12","315","3.81","ไม่ผ่าน","-76.19"
"เดือน","2566","9","มิถุนายน","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","219","290","75.52","ผ่าน","5.52"
"เดือน","2566","9","มิถุนายน","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","65","219","29.68","ไม่ผ่าน","-10.32"
